Peer Name,IPv4,ASN,IPv6,Speed (Gbps),Internet Exchange
Global Micro Solutions,196.60.8.131,36985,2001:43f8:6d0::131,20,NAPAfrica IX Johannesburg
Global Network Systems (PTY) LTD,196.60.8.68,328691,2001:43f8:6d0::68,10,NAPAfrica IX Johannesburg
Global Platinum Solutions (Pty) Ltd,196.60.11.97,329084,,10,NAPAfrica IX Johannesburg
Global Platinum Solutions (Pty) Ltd,196.60.11.98,329084,,10,NAPAfrica IX Johannesburg
Global Sense,196.60.96.197,328929,2001:43f8:1f0::197,10,JINX
Global Sense,196.60.96.201,328929,2001:43f8:1f0::201,1,JINX
GlobeCom (Pty) Ltd,196.60.8.95,328519,2001:43f8:6d0::95,1,NAPAfrica IX Johannesburg
Go Communications Network,196.60.70.217,328051,2001:43f8:6d1::217,10,NAPAfrica IX Cape Town
Go Communications Network,196.60.8.180,328051,2001:43f8:6d0::180,10,NAPAfrica IX Johannesburg
Go Communications Network,196.60.10.192,328051,2001:43f8:6d0::10:192,10,NAPAfrica IX Johannesburg
Go Communications Network,196.223.30.237,328051,2001:43f8:1f2::237,1,DINX
Go Communications Network,196.10.141.99,328051,2001:43f8:6d2::99,1,NAPAfrica IX Durban
Google LLC,196.60.9.113,15169,2001:43f8:6d0::9:113,300,NAPAfrica IX Johannesburg
Google LLC,196.60.8.166,15169,2001:43f8:6d0::a,200,NAPAfrica IX Johannesburg
Google LLC,196.60.96.76,15169,2001:43f8:1f0::76,100,JINX
Google LLC,196.60.96.41,15169,2001:43f8:1f0::41,100,JINX
Green Flash Trading 72 ta Megs,196.60.96.137,37254,2001:43f8:1f0::137,10,JINX
Green Flash Trading 72 ta Megs,196.60.9.181,37254,2001:43f8:6d0::9:181,10,NAPAfrica IX Johannesburg
Green Flash Trading 72 ta Megs,196.60.8.181,37254,2001:43f8:6d0::181,10,NAPAfrica IX Johannesburg
Green Flash Trading 72 ta Megs,196.223.22.137,37254,2001:43f8:1f1::137,1,CINX
Green Flash Trading 72 ta Megs,196.60.70.73,37254,2001:43f8:6d1::73,1,NAPAfrica IX Cape Town
Green Flash Trading 72 ta Megs,196.60.70.179,37254,2001:43f8:6d1::179,1,NAPAfrica IX Cape Town
Green Flash Trading 72 ta Megs,196.10.141.181,37254,2001:43f8:6d2::181,1,NAPAfrica IX Durban
GTT Communications (AS8582),196.60.10.50,8582,2001:43f8:6d0::10:50,10,NAPAfrica IX Johannesburg
GVA,196.60.8.127,36924,2001:43f8:6d0::127,200,NAPAfrica IX Johannesburg
GVA,196.60.70.188,36924,2001:43f8:6d1::188,100,NAPAfrica IX Cape Town
GVSC Communications (SA) (Pty) Ltd,196.60.9.121,328313,2001:43f8:6d0::9:121,10,NAPAfrica IX Johannesburg
GXQ IT Solutions,196.60.96.215,328874,,1,JINX
GXQ IT Solutions,196.60.96.210,328874,,1,JINX
GXQ IT Solutions,196.60.10.155,328874,,1,NAPAfrica IX Johannesburg
GXQ IT Solutions,196.60.9.125,328874,,1,NAPAfrica IX Johannesburg
Haupt Online (Pty) Ltd,196.223.30.56,328049,2001:43f8:1f2::56,10,DINX
Haupt Online (Pty) Ltd,196.60.8.19,328049,2001:43f8:6d0::8049,10,NAPAfrica IX Johannesburg
Haupt Online (Pty) Ltd,196.10.141.52,328049,2001:43f8:6d2::52,1,NAPAfrica IX Durban
HERO TELECOMS,196.60.10.26,328471,2001:43f8:6d0::10:26,200,NAPAfrica IX Johannesburg
HERO TELECOMS,196.60.10.30,328471,2001:43f8:6d0::10:30,200,NAPAfrica IX Johannesburg
HERO TELECOMS,196.223.23.67,328471,2001:43f8:1f1::1:67,100,CINX
HERO TELECOMS,196.223.22.67,328471,2001:43f8:1f1::67,100,CINX
HERO TELECOMS,196.60.97.67,328471,2001:43f8:1f0::1:67,100,JINX
HERO TELECOMS,196.60.96.67,328471,2001:43f8:1f0::67,100,JINX
HERO TELECOMS,196.60.71.6,328471,2001:43f8:6d1::71:6,100,NAPAfrica IX Cape Town
HERO TELECOMS,196.60.71.7,328471,2001:43f8:6d1::71:7,100,NAPAfrica IX Cape Town
HERO TELECOMS,196.223.31.67,328471,2001:43f8:1f2::1:67,10,DINX
HERO TELECOMS,196.223.30.67,328471,2001:43f8:1f2::67,10,DINX
HERO TELECOMS,196.10.141.188,328471,2001:43f8:6d2::188,10,NAPAfrica IX Durban
HERO TELECOMS,196.10.141.32,328471,2001:43f8:6d2::32,10,NAPAfrica IX Durban
HGMC1,196.60.9.164,328335,2001:43f8:6d0::9:164,10,NAPAfrica IX Johannesburg
HGMC1,196.60.9.163,328335,,10,NAPAfrica IX Johannesburg
HGMC1,196.46.25.184,328335,,10,NAPAfrica MAPS Johannesburg
HGMC1,196.46.25.183,328335,,10,NAPAfrica MAPS Johannesburg
Hitec Sure,196.60.8.25,328038,2001:43f8:6d0::25,10,NAPAfrica IX Johannesburg
Hivelocity Inc. fka Digital Energy Technologies Limited (Global),196.60.96.97,61317,2001:43f8:1f0::97,10,JINX
Hivelocity Inc. fka Digital Energy Technologies Limited (Global),196.60.9.61,61317,2001:43f8:6d0::9:61,10,NAPAfrica IX Johannesburg
Hollywood Connect,196.223.30.182,329479,2001:43f8:1f2::182,10,DINX
Hollywood Connect,196.223.31.182,329479,2001:43f8:1f2::1:182,10,DINX
Hollywood Connect,196.10.141.167,329479,,10,NAPAfrica IX Durban
Hollywood Connect,196.10.141.135,329479,2001:43f8:6d2::135,10,NAPAfrica IX Durban
Hollywood Sportsbook Holdings,196.223.22.19,328041,2001:43f8:1f1::19,10,CINX
Hollywood Sportsbook Holdings,196.223.30.220,328041,2001:43f8:1f2::220,10,DINX
Hollywood Sportsbook Holdings,196.223.30.19,328041,2001:43f8:1f2::19,10,DINX
Hollywood Sportsbook Holdings,196.60.96.19,328041,2001:43f8:1f0::19,10,JINX
Hollywood Sportsbook Holdings,196.60.71.79,328041,2001:43f8:6d1::71:79,10,NAPAfrica IX Cape Town
Hollywood Sportsbook Holdings,196.10.141.89,328041,2001:43f8:6d2::89,10,NAPAfrica IX Durban
Hollywood Sportsbook Holdings,196.60.10.193,328041,2001:43f8:6d0::10:193,10,NAPAfrica IX Johannesburg
HomeFind24 (Pty) Ltd t/a Property24,196.60.70.124,328174,2001:43f8:6d1::124,10,NAPAfrica IX Cape Town
HomeFind24 (Pty) Ltd t/a Property24,196.60.70.125,328174,2001:43f8:6d1::125,10,NAPAfrica IX Cape Town
HONORA Tanzania PLC,196.60.9.140,37035,2001:43f8:6d0::9:140,20,NAPAfrica IX Johannesburg
HONORA Tanzania PLC,196.60.8.38,37035,2001:43f8:6d0::38,10,NAPAfrica IX Johannesburg
HONORA Tanzania PLC,196.60.9.138,37035,2001:43f8:6d0::9:138,10,NAPAfrica IX Johannesburg
Horizon Communications,196.60.10.16,328624,2001:43f8:6d0::10:16,10,NAPAfrica IX Johannesburg
Host Africa,196.60.96.159,328364,2001:43f8:1f0::159,10,JINX
Host Africa DPA,196.60.97.32,329184,2001:43f8:1f0::1:32,10,JINX
Host Africa DPA,196.60.8.129,329184,2001:43f8:6d0::129,10,NAPAfrica IX Johannesburg
HotFibre Pty,196.223.31.65,329438,,10,DINX
HotFibre Pty,196.10.141.159,329438,,10,NAPAfrica IX Durban
Huawei Cloud Global,196.60.9.222,136907,2001:43f8:6d0::9:222,100,NAPAfrica IX Johannesburg
Huawei Cloud Global,196.60.10.85,136907,2001:43f8:6d0::10:85,100,NAPAfrica IX Johannesburg
Huawei Cloud Global,196.60.96.188,136907,2001:43f8:1f0::188,10,JINX
Huawei Cloud Global,196.60.96.88,136907,2001:43f8:1f0::88,10,JINX
Huge Connect,196.60.9.146,328360,2001:43f8:6d0::9:146,1,NAPAfrica IX Johannesburg
Hurricane Electric,196.223.22.108,6939,2001:43f8:1f1::108,100,CINX
Hurricane Electric,196.60.96.108,6939,2001:43f8:1f0::108,100,JINX
Hurricane Electric,196.60.70.165,6939,2001:43f8:6d1::165,100,NAPAfrica IX Cape Town
Hurricane Electric,196.10.141.42,6939,2001:43f8:6d2::42,100,NAPAfrica IX Durban
Hurricane Electric,196.60.8.42,6939,2001:43f8:6d0::42,100,NAPAfrica IX Johannesburg
Hurricane Electric,196.223.30.108,6939,2001:43f8:1f2::108,10,DINX
i3D.net,196.60.8.6,49544,2001:43f8:6d0::6,20,NAPAfrica IX Johannesburg
i3D.net,196.60.96.134,49544,2001:43f8:1f0::134,10,JINX
IBITS Internet,196.60.70.74,327872,2001:43f8:6d1::74,20,NAPAfrica IX Cape Town
IBITS Internet,196.60.70.202,327872,2001:43f8:6d1::202,20,NAPAfrica IX Cape Town
IBITS Internet,196.223.22.64,327872,2001:43f8:1f1::64,10,CINX
IBITS Internet,196.60.96.64,327872,2001:43f8:1f0::64,10,JINX
IBITS Internet,196.60.10.80,327872,2001:43f8:6d0::10:80,10,NAPAfrica IX Johannesburg
IBITS Internet,196.60.8.31,327872,2001:43f8:6d0::31,10,NAPAfrica IX Johannesburg
iboss Asia,196.60.8.101,137922,2001:43f8:6d0::101,10,NAPAfrica IX Johannesburg
iboss Asia,196.60.9.224,137922,2001:43f8:6d0::9:224,10,NAPAfrica IX Johannesburg
Iclix,196.60.8.34,37542,2001:43f8:6d0::34,30,NAPAfrica IX Johannesburg
Iclix,196.60.9.95,37542,2001:43f8:6d0::9:95,30,NAPAfrica IX Johannesburg
Iclix,196.60.96.110,37542,2001:43f8:1f0::110,10,JINX
iConnectSA,196.223.23.30,37515,,10,CINX
iConnectSA,196.223.31.30,37515,,10,DINX
iConnectSA,196.60.97.30,37515,,10,JINX
iConnectSA,196.60.70.100,37515,,10,NAPAfrica IX Cape Town
iConnectSA,196.60.71.147,37515,,10,NAPAfrica IX Cape Town
iConnectSA,196.10.141.202,37515,,10,NAPAfrica IX Durban
iConnectSA,196.10.141.245,37515,,10,NAPAfrica IX Durban
iConnectSA,196.60.9.58,37515,,10,NAPAfrica IX Johannesburg
iConnectSA,196.60.8.63,37515,,10,NAPAfrica IX Johannesburg
ICTGlobe,196.60.9.190,37239,2001:43f8:6d0::9:190,20,NAPAfrica IX Johannesburg
ICTGlobe,196.60.8.190,37239,2001:43f8:6d0::190,20,NAPAfrica IX Johannesburg
ICTGlobe,196.223.30.246,37239,2001:43f8:1f2::246,10,DINX
ICTGlobe,196.60.70.121,37239,2001:43f8:6d1::121,10,NAPAfrica IX Cape Town
ICTGlobe,196.60.70.22,37239,2001:43f8:6d1::22,10,NAPAfrica IX Cape Town
ICTGlobe,196.10.141.77,37239,2001:43f8:6d2::77,10,NAPAfrica IX Durban
ICTGlobe,196.223.22.246,37239,2001:43f8:1f1::246,1,CINX
ICTGlobe,196.60.96.246,37239,2001:43f8:1f0::246,1,JINX
Ifowuni,196.60.71.37,328693,2001:43f8:6d1::71:37,10,NAPAfrica IX Cape Town
Ifowuni,196.60.71.36,328693,2001:43f8:6d1::71:36,10,NAPAfrica IX Cape Town
iiNet Connect Pty Ltd,196.223.23.48,329360,2001:43f8:1f1::1:48,10,CINX
iiNet Connect Pty Ltd,196.60.71.156,329360,2001:43f8:6d1::71:156,10,NAPAfrica IX Cape Town
iiNet Connect Pty Ltd,196.60.9.202,329360,2001:43f8:6d0::9:202,10,NAPAfrica IX Johannesburg
Ikeja Wireless,196.60.97.29,328510,,20,JINX
Ikeja Wireless,196.60.10.168,328510,,20,NAPAfrica IX Johannesburg
Ikeja Wireless,196.60.8.158,328510,,20,NAPAfrica IX Johannesburg
Ikeja Wireless,196.60.9.14,328510,,20,NAPAfrica IX Johannesburg
Ikeja Wireless,196.60.8.159,328510,,20,NAPAfrica IX Johannesburg
Ikeja Wireless,196.223.23.29,328510,,10,CINX
Ikeja Wireless,196.60.71.30,328510,,10,NAPAfrica IX Cape Town
Ikeja Wireless,196.60.70.241,328510,,10,NAPAfrica IX Cape Town
Imagine IPS,196.60.9.13,37157,,10,NAPAfrica IX Johannesburg
Imagine IPS,196.60.8.117,37157,,10,NAPAfrica IX Johannesburg
Imagine IPS,196.60.96.53,37157,,1,JINX
Imagine IPS,196.60.96.153,37157,,1,JINX
Imaginet,196.60.96.68,37159,2001:43f8:1f0::68,1,JINX
Imaginet,196.60.96.158,37159,2001:43f8:1f0::158,1,JINX
IMPERIAL,196.60.71.103,29918,,10,NAPAfrica IX Cape Town
IMPERIAL,196.60.10.31,29918,,10,NAPAfrica IX Johannesburg
IMPERIAL,196.60.8.81,29918,,10,NAPAfrica IX Johannesburg
Imvula iTech,196.223.30.226,328942,2001:43f8:1f2::226,10,DINX
Imvula iTech,196.10.141.121,328942,2001:43f8:6d2::121,10,NAPAfrica IX Durban
Infinity Connect,196.60.10.227,329058,2001:43f8:6d0::10:227,1,NAPAfrica IX Johannesburg
Infinity Wireless,196.60.8.189,328517,2001:43f8:6d0::189,20,NAPAfrica IX Johannesburg
Infinity Wireless,196.60.10.138,328517,2001:43f8:6d0::10:138,20,NAPAfrica IX Johannesburg
Infinity Wireless,196.60.70.229,328517,2001:43f8:6d1::229,10,NAPAfrica IX Cape Town
Infinity Wireless,196.60.71.130,328517,2001:43f8:6d1::71:130,10,NAPAfrica IX Cape Town
Infinity Wireless,196.60.96.236,328517,2001:43f8:1f0::236,2,JINX
Infinity Wireless,196.60.97.22,328517,2001:43f8:1f0::1:22,2,JINX
Info-Gro (PTY) Ltd,196.60.10.34,37403,2001:43f8:6d0::10:34,10,NAPAfrica IX Johannesburg
Info-Gro (PTY) Ltd,196.60.8.186,37403,,10,NAPAfrica IX Johannesburg
Info-Gro (PTY) Ltd,196.60.96.36,37403,2001:43f8:1f0::36,1,JINX
Info-Gro (PTY) Ltd,196.60.71.89,37403,2001:43f8:6d1::71:89,1,NAPAfrica IX Cape Town
Ingululu Communications,196.223.30.205,328598,2001:43f8:1f2::205,10,DINX
Ingululu Communications,196.10.141.35,328598,2001:43f8:6d2::35,10,NAPAfrica IX Durban
Ingululu Communications,196.60.10.24,328598,2001:43f8:6d0::10:24,10,NAPAfrica IX Johannesburg
inq.,196.223.22.112,37314,2001:43f8:1f1::112,10,CINX
inq.,196.223.30.112,37314,2001:43f8:1f2::112,10,DINX
inq.,196.60.96.142,37314,2001:43f8:1f0::142,10,JINX
inq.,196.60.96.112,37314,2001:43f8:1f0::112,10,JINX
inq.,196.60.97.15,37314,2001:43f8:1f0::1:15,10,JINX
inq.,196.60.70.156,37314,2001:43f8:6d1::156,10,NAPAfrica IX Cape Town
inq.,196.10.141.156,37314,2001:43f8:6d2::156,10,NAPAfrica IX Durban
inq.,196.60.8.164,37314,2001:43f8:6d0::164,10,NAPAfrica IX Johannesburg
inq.,196.60.8.156,37314,2001:43f8:6d0::156,10,NAPAfrica IX Johannesburg
InsideData,196.60.10.139,328798,,10,NAPAfrica IX Johannesburg
Insight Network Solutions,196.60.97.203,328964,2001:43f8:1f0::1:203,10,JINX
Insight Network Solutions,196.60.70.117,328964,2001:43f8:6d1::117,10,NAPAfrica IX Cape Town
Insight Network Solutions,196.60.10.195,328964,2001:43f8:6d0::10:195,10,NAPAfrica IX Johannesburg
Insight Network Solutions,196.60.10.232,328964,2001:43f8:6d0::10:232,10,NAPAfrica IX Johannesburg
Insight Network Solutions,196.46.25.34,328964,,10,NAPAfrica MAPS Cape Town
Insight Network Solutions,196.46.25.159,328964,,10,NAPAfrica MAPS Johannesburg
Insight Network Solutions,196.46.25.171,328964,,10,NAPAfrica MAPS Johannesburg
Insight Network Solutions,196.60.96.203,328964,2001:43f8:1f0::203,1,JINX
Intaweb,196.60.71.88,328711,2001:43f8:6d1::71:88,10,NAPAfrica IX Cape Town
Intdev Internet Technologies (Pty) Ltd,196.60.9.170,329266,,10,NAPAfrica IX Johannesburg
Intdev Internet Technologies (Pty) Ltd,196.60.9.174,329266,,10,NAPAfrica IX Johannesburg
Intech Business Solutions,196.60.10.110,329098,,1,NAPAfrica IX Johannesburg
Intelvision,196.223.23.178,36902,2001:43f8:1f1::1:178,10,CINX
Intelvision,196.223.23.78,36902,2001:43f8:1f1::1:78,10,CINX
Intelvision,196.60.97.78,36902,2001:43f8:1f0::1:78,10,JINX
Intelvision,196.60.70.37,36902,2001:43f8:6d1::37,10,NAPAfrica IX Cape Town
Intelvision,196.60.8.14,36902,2001:43f8:6d0::14,10,NAPAfrica IX Johannesburg
Intelys Technology Africa,196.60.9.172,328356,2001:43f8:6d0::9:172,20,NAPAfrica IX Johannesburg
Intelys Technology Africa,196.60.97.70,328356,,10,JINX
Internet NS,196.60.9.168,328388,2001:43f8:6d0::9:168,40,NAPAfrica IX Johannesburg
Internet NS,196.60.9.173,328388,2001:43f8:6d0::9:173,30,NAPAfrica IX Johannesburg
Internet NS,196.60.97.13,328388,2001:43f8:1f0::1:13,1,JINX
Internet Uncapped,196.223.30.130,328262,2001:43f8:1f2::130,10,DINX
Internet Uncapped,196.60.10.92,328262,2001:43f8:6d0::10:92,10,NAPAfrica IX Johannesburg
Internet Uncapped,196.10.141.109,328262,2001:43f8:6d2::109,1,NAPAfrica IX Durban
Interworks Connectivity Solutions,196.223.31.16,327983,2001:43f8:1f2::1:16,10,DINX
Interworks Connectivity Solutions,196.60.71.139,327983,2001:43f8:6d1::71:139,10,NAPAfrica IX Cape Town
Interworks Connectivity Solutions,196.60.70.82,327983,2001:43f8:6d1::82,10,NAPAfrica IX Cape Town
Interworks Connectivity Solutions,196.10.141.34,327983,2001:43f8:6d2::34,10,NAPAfrica IX Durban
Interworks Connectivity Solutions,196.60.10.42,327983,2001:43f8:6d0::10:42,10,NAPAfrica IX Johannesburg
Interworks Connectivity Solutions,196.60.8.44,327983,2001:43f8:6d0::44,10,NAPAfrica IX Johannesburg
Interworks Connectivity Solutions,196.223.23.16,327983,2001:43f8:1f1::1:16,1,CINX
Invesco - Jemstep,196.60.8.106,328560,2001:43f8:6d0::106,1,NAPAfrica IX Johannesburg
Investecbank,196.60.10.1,11744,2001:43f8:6d0::10:1,10,NAPAfrica IX Johannesburg
Investecbank,196.60.10.2,11744,2001:43f8:6d0::10:2,10,NAPAfrica IX Johannesburg
IO Tech Manufacturing,196.60.96.225,328706,2001:43f8:1f0::225,1,JINX
IO Tech Manufacturing,196.60.10.74,328706,2001:43f8:6d0::10:74,1,NAPAfrica IX Johannesburg
iONLINE ISP,196.60.8.97,327909,2001:43f8:6d0::97,10,NAPAfrica IX Johannesburg
iONLINE ISP,196.60.8.105,327909,2001:43f8:6d0::105,10,NAPAfrica IX Johannesburg
IP Labs Communications,196.60.70.222,328242,2001:43f8:6d1::222,10,NAPAfrica IX Cape Town
IP Labs Communications,196.10.141.30,328242,2001:43f8:6d2::30,1,NAPAfrica IX Durban
IP Labs Communications,196.60.9.71,328242,2001:43f8:6d0::9:71,1,NAPAfrica IX Johannesburg
IP Telecom (BR),196.60.11.20,61573,2001:43f8:6d0::11:20,10,NAPAfrica IX Johannesburg
IP Telecom SA,196.60.70.250,328589,,1,NAPAfrica IX Cape Town
IPTP Inc,196.60.8.124,37740,2001:43f8:6d0::124,10,NAPAfrica IX Johannesburg
ISC F-ROOT JNB1,196.60.96.12,27322,2001:43f8:1f0::12,10,JINX
iSPACE,196.60.8.112,327935,,10,NAPAfrica IX Johannesburg
iSPACE,196.10.141.98,327935,,1,NAPAfrica IX Durban
iSPOT,196.223.30.140,327922,,10,DINX
iSPOT,196.10.141.161,327922,,10,NAPAfrica IX Durban
iTEAM (Pty) Ltd,196.223.30.227,328568,2001:43f8:1f2::227,10,DINX
iTEAM (Pty) Ltd,196.10.141.31,328568,2001:43f8:6d2::31,10,NAPAfrica IX Durban
iTEAM (Pty) Ltd,196.60.9.247,328568,2001:43f8:6d0::9:247,10,NAPAfrica IX Johannesburg
iTEAM (Pty) Ltd,196.60.71.35,328568,2001:43f8:6d1::71:35,1,NAPAfrica IX Cape Town
ITEC Communications Pty Ltd,196.60.8.76,37634,,1,NAPAfrica IX Johannesburg
ITTX Telecoms,196.60.9.39,328176,,20,NAPAfrica IX Johannesburg
ITTX Telecoms,196.60.10.77,328176,,20,NAPAfrica IX Johannesburg
ITTX Telecoms,196.60.71.69,328176,,10,NAPAfrica IX Cape Town
ITTX Telecoms,196.60.96.145,328176,,1,JINX
Izwi Technology Group,196.60.70.88,327950,2001:43f8:6d1::88,10,NAPAfrica IX Cape Town
Izwi Technology Group,196.60.70.102,327950,2001:43f8:6d1::102,10,NAPAfrica IX Cape Town
Izwi Technology Group,196.60.9.26,327950,2001:43f8:6d0::9:26,10,NAPAfrica IX Johannesburg
Izwi Technology Group,196.60.8.88,327950,2001:43f8:6d0::88,10,NAPAfrica IX Johannesburg
Izwi Technology Group,196.223.22.48,327950,2001:43f8:1f1::48,1,CINX
Izwi Technology Group,196.60.96.48,327950,2001:43f8:1f0::48,1,JINX
Jebo Connect,196.60.70.218,328474,2001:43f8:6d1::218,10,NAPAfrica IX Cape Town
Jebo Connect,196.60.9.236,328474,2001:43f8:6d0::9:236,10,NAPAfrica IX Johannesburg
Jebo Connect,196.60.10.236,328474,2001:43f8:6d0::10:236,10,NAPAfrica IX Johannesburg
JENNY,196.60.9.249,327750,2001:43f8:6d0::9:249,20,NAPAfrica IX Johannesburg
JENNY,196.60.8.247,327750,2001:43f8:6d0::247,20,NAPAfrica IX Johannesburg
JENNY,196.60.97.45,327750,2001:43f8:1f0::1:45,1,JINX
JINX Operations/Route Collector,196.60.96.101,37474,2001:43f8:1f0::101,10,JINX
JINX Operations/Route Collector,196.60.96.102,37474,2001:43f8:1f0::102,10,JINX
JINX Operations/Route Collector,196.60.96.3,37474,2001:43f8:1f0::3,10,JINX
JINX Route Servers,196.60.96.1,37700,2001:43f8:1f0::1,10,JINX
JINX Route Servers,196.60.96.2,37700,2001:43f8:1f0::2,10,JINX
Johannesburg Wireless User Group,196.60.96.242,328206,2001:43f8:1f0::242,10,JINX
Johannesburg Wireless User Group,196.60.9.66,328206,2001:43f8:6d0::9:66,10,NAPAfrica IX Johannesburg
Johannesburg Wireless User Group,196.60.70.185,328206,2001:43f8:6d1::185,1,NAPAfrica IX Cape Town
JSDAAV,196.60.96.82,328039,2001:43f8:1f0::82,1,JINX
JSDAAV,196.60.8.36,328039,2001:43f8:6d0::36,1,NAPAfrica IX Johannesburg
Jumbo Technologies PTY LTD,196.60.10.238,328826,2001:43f8:6d0::10:238,10,NAPAfrica IX Johannesburg
Jumbo Technologies PTY LTD,196.60.10.169,328826,2001:43f8:6d0::10:169,10,NAPAfrica IX Johannesburg
KAB Technologies,196.223.22.169,37628,2001:43f8:1f1::169,10,CINX
KAB Technologies,196.60.70.42,37628,,10,NAPAfrica IX Cape Town
KAB Technologies,196.60.8.134,37628,,10,NAPAfrica IX Johannesburg
Kaldera,196.60.97.31,37722,2001:43f8:1f0::1:31,10,JINX
Kaopu Cloud HK,196.60.71.125,138915,2001:43f8:6d1::71:125,100,NAPAfrica IX Cape Town
Kaopu Cloud HK,196.60.71.95,138915,2001:43f8:6d1::71:95,100,NAPAfrica IX Cape Town
Kaopu Cloud HK,196.60.10.148,138915,2001:43f8:6d0::10:148,100,NAPAfrica IX Johannesburg
Khula Tech Solutions,196.60.10.133,328802,2001:43f8:6d0::10:133,10,NAPAfrica IX Johannesburg
Khula Tech Solutions,196.60.71.72,328802,2001:43f8:6d1::71:72,1,NAPAfrica IX Cape Town
Kibo Connect,196.60.70.78,327936,2001:43f8:6d1::78,20,NAPAfrica IX Cape Town
Kibo Connect,196.10.141.123,327936,2001:43f8:6d2::123,20,NAPAfrica IX Durban
Kibo Connect,196.60.8.61,327936,2001:43f8:6d0::61,20,NAPAfrica IX Johannesburg
KLIQ,196.60.8.5,328074,2001:43f8:6d0::5,10,NAPAfrica IX Johannesburg
KLIQ,196.60.96.106,328074,,1,JINX
Korbitec,196.60.70.111,328156,2001:43f8:6d1::111,1,NAPAfrica IX Cape Town
Korbitec,196.60.70.109,328156,2001:43f8:6d1::109,1,NAPAfrica IX Cape Town
Korbitec,196.60.9.111,328156,2001:43f8:6d0::9:111,1,NAPAfrica IX Johannesburg
Korbitec,196.60.9.109,328156,2001:43f8:6d0::9:109,1,NAPAfrica IX Johannesburg
KorCom (Pty) Ltd,196.60.10.43,328677,2001:43f8:6d0::10:43,10,NAPAfrica IX Johannesburg
KorCom (Pty) Ltd,196.60.10.79,328677,2001:43f8:6d0::10:79,10,NAPAfrica IX Johannesburg
KorCom (Pty) Ltd,196.46.25.165,328677,,10,NAPAfrica MAPS Johannesburg
KorCom (Pty) Ltd,196.46.25.164,328677,,10,NAPAfrica MAPS Johannesburg
Krypton Web,196.60.71.43,328732,2001:43f8:6d1::71:43,10,NAPAfrica IX Cape Town
Krypton Web,196.60.10.180,328732,2001:43f8:6d0::10:180,10,NAPAfrica IX Johannesburg
Kurlec Wireless,196.60.9.155,328320,2001:43f8:6d0::9:155,10,NAPAfrica IX Johannesburg
Ladysmith Wireless Solutions,196.223.30.165,327817,2001:43f8:1f2::165,10,DINX
Ladysmith Wireless Solutions,196.60.96.165,327817,2001:43f8:1f0::165,10,JINX
Ladysmith Wireless Solutions,196.10.141.108,327817,2001:43f8:6d2::108,10,NAPAfrica IX Durban
Ladysmith Wireless Solutions,196.60.9.171,327817,2001:43f8:6d0::9:171,10,NAPAfrica IX Johannesburg
LanDynamix,196.60.10.118,327751,,1,NAPAfrica IX Johannesburg
LanDynamix,196.60.8.243,327751,,1,NAPAfrica IX Johannesburg
LARUS Limited,196.60.9.47,17561,2001:43f8:6d0::9:47,10,NAPAfrica IX Johannesburg
Lasernet,196.223.23.99,37484,,10,CINX
Lasernet,196.60.71.100,37484,,10,NAPAfrica IX Cape Town
Lasernet,196.60.9.114,37484,,10,NAPAfrica IX Johannesburg
Layer3 Telecom,196.60.9.104,328287,,1,NAPAfrica IX Johannesburg
LEC Communications,196.60.8.104,328567,,10,NAPAfrica IX Johannesburg
LEC Communications,196.60.10.170,328567,,10,NAPAfrica IX Johannesburg
Letaba Wireless Internet,196.60.10.36,328638,2001:43f8:6d0::10:36,30,NAPAfrica IX Johannesburg
Letaba Wireless Internet,196.60.10.35,328638,2001:43f8:6d0::10:35,30,NAPAfrica IX Johannesburg
Level-7 Internet,196.60.97.77,327901,,100,JINX
Level-7 Internet,196.60.8.47,327901,,100,NAPAfrica IX Johannesburg
Level-7 Internet,196.60.8.114,327901,,100,NAPAfrica IX Johannesburg
Level-7 Internet,196.60.70.138,327901,,10,NAPAfrica IX Cape Town
Level-7 Internet,196.60.71.80,327901,,10,NAPAfrica IX Cape Town
Level-7 Internet,196.10.141.36,327901,,10,NAPAfrica IX Durban
Liberty Group,196.60.10.66,37007,,10,NAPAfrica IX Johannesburg
Liberty Group,196.60.10.67,37007,,10,NAPAfrica IX Johannesburg
Liberty Group,196.46.25.143,37007,,10,NAPAfrica MAPS Johannesburg
Liberty Group,196.46.25.142,37007,,10,NAPAfrica MAPS Johannesburg
Light Bridge Internet (Pty) Ltd,196.60.11.75,329346,,10,NAPAfrica IX Johannesburg
Light Bridge Internet (Pty) Ltd,196.60.9.131,329346,,10,NAPAfrica IX Johannesburg
Lightstruck Connect T/A Yutiliti,196.223.22.180,329481,2001:43f8:1f1::180,10,CINX
Lightstruck Connect T/A Yutiliti,196.223.30.180,329481,2001:43f8:1f2::180,10,DINX
Lightstruck Connect T/A Yutiliti,196.60.70.112,329481,2001:43f8:6d1::112,10,NAPAfrica IX Cape Town
Lightstruck Connect T/A Yutiliti,196.10.141.63,329481,2001:43f8:6d2::63,10,NAPAfrica IX Durban
LIMPO WIFI,196.60.10.130,328777,2001:43f8:6d0::10:130,10,NAPAfrica IX Johannesburg
Link-Up Wireless,196.223.30.206,328437,2001:43f8:1f2::206,10,DINX
Link-Up Wireless,196.10.141.206,328437,2001:43f8:6d2::206,10,NAPAfrica IX Durban
